,model,vectorization,vector-size,accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro
1,sklearn_knnclf,bagofwords,2000,0.7452798940046373,0.7452798940046373,0.7452798940046373,0.7452798940046373,0.8708588194639577,0.22488863300002382,0.26020904958417596
0,sklearn_knnclf,bagofwords,1000,0.7585293143424975,0.7585293143424975,0.7585293143424975,0.7585293143424974,0.8493179878190085,0.23386556525675387,0.2609921191135707
2,sklearn_knnclf,bagofwords,500,0.7634978469691951,0.7634978469691951,0.7634978469691951,0.7634978469691951,0.7795750704371868,0.2179143031578078,0.23611079545286484
44,sklearn_sgdclf,bagofwords,500,0.7969526333222922,0.7969526333222922,0.7969526333222922,0.7969526333222922,0.6955938383833177,0.30538359646634144,0.32228266654109283
32,sklearn_percep,bagofwords,500,0.8019211659489898,0.8019211659489898,0.8019211659489898,0.8019211659489898,0.5297016646131595,0.417536356867284,0.3376184377656527
35,sklearn_percep,tfidf,500,0.8025836369658828,0.8025836369658828,0.8025836369658828,0.8025836369658828,0.5914985465997266,0.38068944048060194,0.3344331286239632
8,sklearn_linsvc,bagofwords,500,0.8055647565419013,0.8055647565419013,0.8055647565419013,0.8055647565419013,0.5359910049803259,0.411420070687879,0.3435033790509941
26,sklearn_pasagg,bagofwords,500,0.8082146406094733,0.8082146406094733,0.8082146406094733,0.8082146406094733,0.5041821481953876,0.38079836744910855,0.34504995546307665
23,sklearn_mlpclf,tfidf,500,0.8155018217952965,0.8155018217952965,0.8155018217952965,0.8155018217952965,0.6530416424675086,0.3944503150631839,0.3817351372015512
5,sklearn_knnclf,tfidf,500,0.8155018217952965,0.8155018217952965,0.8155018217952965,0.8155018217952965,0.7349454939333688,0.3456183829105269,0.3368484447282987
29,sklearn_pasagg,tfidf,500,0.8188141768797615,0.8188141768797615,0.8188141768797615,0.8188141768797615,0.5466663630145285,0.41178527770536133,0.3628050937036702
